Zone,Disponibilité alimentaire en quantité (kg/personne/an),%_Exportations,%_Nourriture,%_Production,Rapport Importation/Pop,Rapport Exportation/Pop,Rapport Production/Pop,Evo%_Import/Pop,Evo%_Export/Pop,distance,Political_Stability,PIB/Hab
Afrique du Sud,35.69,2.8885832187070153,93.3058230169647,76.43282897753323,9.016000699950373,1.1050740157526724,29.240609273963564,0.16493847221963165,-0.35924661459247886,8789.06,-0.28,6723.928582
Albanie,16.36,0.0,92.15686274509804,25.49019607843137,13.175372178260012,0.0,4.5073641662468455,-5.830876620991418,0.0025212998072845494,1545.6,0.38,4521.752217
Algérie,6.38,0.0,95.30685920577618,99.27797833935018,0.048321797269330405,0.0,6.644247124532931,1.041509193818115,0.0,2023.54,-0.92,4134.936055
Allemagne,19.47,27.419354838709676,68.2937181663837,64.26146010186757,10.186501412094684,7.815296807854116,18.31634576949092,-6.853764570486788,-22.3749894075429,815.79,0.59,44670.222282
Angola,10.56,0.0,98.7460815047022,13.166144200626958,9.290075254975672,0.0,1.4086034682634594,-0.2670123468379444,0.0,6574.32,-0.33,4042.681403
Antigua-et-Barbuda,54.1,0.0,71.42857142857143,0.0,73.35527005218704,0.0,0.0,0.15978408250130371,-0.4134071795102585,6659.12,0.75,16110.556281
Arabie saoudite,43.36,0.7473841554559043,107.24962630792227,46.038863976083704,21.811911895947876,0.3021040428801645,18.609609041418132,0.5808503289052567,0.02818998041090026,4546.09,-0.58,20138.146333
Argentine,42.24,9.54356846473029,85.56938681420009,99.63116643614569,0.18207830550645765,4.711276154979592,49.18390227493187,0.16410976829108392,0.1805153558316306,11464.33,0.17,14609.78337
Arménie,16.06,0.0,102.17391304347827,23.91304347826087,11.885393564432926,0.0,3.7354094059646337,-12.357147089693683,0.0,3496.74,-0.62,4041.995072
Australie,47.65,3.268482490272374,91.1284046692607,98.75486381322958,0.6508133947158833,1.7083851611291938,51.61763736840349,0.0,0.5686131932658469,15158.38,0.89,57430.803788
Autriche,18.2,30.23255813953488,62.01550387596899,57.36434108527132,12.471795318337474,8.843636680275663,16.780233701035876,-7.0617805265211615,-19.19994088181724,947.56,1.05,47429.535841
Azerbaïdjan,13.11,0.0,98.47328244274809,79.38931297709924,2.7424197486724657,0.0,10.563394587479127,-1.3736715088479343,-0.03285706374175845,3687.62,-0.75,4057.624007
Barbade,46.78,0.0,76.47058823529412,88.23529411764706,6.987338941837391,0.0,52.40504206378043,0.0,17.397058208700727,6791.8,0.97,17843.196496
Bélarus,27.98,31.40495867768595,54.54545454545454,95.66115702479338,2.222167902562382,16.08426291378486,48.99351137554204,-4.58746633685287,-0.4100374922483212,2005.5,-0.05,5637.218565
